emp_no,first_name,last_name,birth_date,title,dept_name
10001,Georgi,Facello,1953-09-02,Senior Engineer,Development
10004,Chirstian,Koblick,1954-05-01,Senior Engineer,Production
10009,Sumant,Peac,1952-04-19,Senior Engineer,Quality Management
10018,Kazuhide,Peha,1954-06-19,Senior Engineer,Production
10018,Kazuhide,Peha,1954-06-19,Senior Engineer,Development
10035,Alain,Chappelet,1953-02-08,Senior Engineer,Production
10053,Sanjiv,Zschoche,1954-09-13,Senior Staff,Sales
10058,Berhard,McFarlin,1954-10-01,Senior Staff,Marketing
10066,Kwee,Schusler,1952-11-13,Senior Engineer,Development
10067,Claudi,Stavenow,1953-01-07,Senior Engineer,Quality Management
10072,Hironoby,Sidou,1952-05-15,Senior Engineer,Development
10076,Erez,Ritzmann,1952-06-13,Senior Engineer,Development
10088,Jungsoon,Syrzycki,1954-02-25,Senior Staff,Sales
10088,Jungsoon,Syrzycki,1954-02-25,Senior Staff,Customer Service
10100,Hironobu,Haraldson,1953-04-21,Senior Staff,Human Resources
10103,Akemi,Birch,1953-11-26,Engineer,Development
10126,Kayoko,Valtorta,1954-08-07,Senior Staff,Customer Service
10134,Diederik,Siprelle,1953-04-15,Senior Engineer,Production
10134,Diederik,Siprelle,1953-04-15,Senior Engineer,Development
10157,Nigel,Aloisi,1954-04-23,Senior Engineer,Development
10198,Pranav,Furedi,1953-05-28,Senior Engineer,Development
10215,Xiaobin,Duclos,1954-04-02,Senior Staff,Sales
10224,Leon,Trogemann,1954-05-17,Senior Engineer,Production
10233,Lein,Vendrig,1954-04-01,Senior Staff,Human Resources
10272,Yishai,Cannane,1954-11-30,Staff,Finance
10282,Hercules,Benzmuller,1953-11-27,Engineer,Production
10283,Kauko,Birjandi,1953-07-08,Senior Engineer,Development
10326,Masali,Czap,1953-02-13,Staff,Research
10340,Djelloul,Laventhal,1952-08-20,Senior Staff,Marketing
10347,Pradeep,Kaminger,1953-10-03,Staff,Research
10355,Satyanarayana,Cochrane,1952-12-10,Staff,Sales
10356,Vasilis,Standera,1952-08-12,Senior Staff,Research
10364,Nakhoon,Dengi,1954-09-21,Senior Engineer,Production
10372,Anneli,Frijda,1952-04-08,Technique Leader,Production
10387,Parto,Wrigley,1952-11-03,Senior Staff,Customer Service
10402,Volkmar,Ebeling,1953-07-23,Technique Leader,Quality Management
10429,Martien,Improta,1952-02-13,Senior Engineer,Development
10432,Hisao,Tiemann,1953-11-06,Senior Staff,Customer Service
10451,Bodh,Ranta,1952-10-06,Senior Engineer,Production
10453,Tsvetan,Matzel,1953-07-19,Senior Staff,Customer Service
10463,Ung,Zaiane,1954-05-20,Staff,Sales
10486,Amstein,Kossowski,1952-08-24,Senior Engineer,Quality Management
10494,Yakkov,Servieres,1953-12-21,Senior Engineer,Production
10504,Xiong,Varker,1953-04-07,Staff,Sales
10548,Ramalingam,Gunderson,1952-06-12,Senior Staff,Marketing
10548,Ramalingam,Gunderson,1952-06-12,Senior Staff,Sales
10623,Aleksander,Danlos,1953-07-11,Senior Engineer,Development
10623,Aleksander,Danlos,1953-07-11,Senior Engineer,Research
10628,Krisda,Krogh,1954-04-18,Senior Engineer,Development
10653,Otmar,Feinberg,1953-06-16,Senior Engineer,Development
10671,Parviz,Rebaine,1953-06-12,Senior Staff,Human Resources
10676,Valeri,Danley,1953-08-26,Engineer,Development
10693,Berhard,Daescu,1953-12-14,Senior Staff,Customer Service
10702,Bader,Szemeredi,1952-11-25,Senior Engineer,Development
10726,Zita,Minakawa,1954-01-11,Senior Engineer,Development
10734,Sachar,Erdi,1954-07-06,Engineer,Production
10745,Poorav,Ranze,1953-10-23,Senior Engineer,Production
10767,Monique,Doering,1954-02-28,Staff,Sales
10778,Selwyn,Merey,1953-03-13,Senior Staff,Marketing
10791,Tadahiko,Sgarro,1954-05-27,Senior Engineer,Development
10795,Supot,Naudin,1954-12-14,Senior Staff,Sales
10835,Tomoyuki,Kermarrec,1952-11-23,Engineer,Production
10836,Jianhua,Leivant,1953-07-15,Senior Staff,Sales
10836,Jianhua,Leivant,1953-07-15,Senior Staff,Customer Service
10844,Dipayan,Koprowski,1954-02-03,Engineer,Development
10847,Theirry,Danley,1952-03-04,Senior Staff,Research
10848,Fen,Bratsberg,1954-07-16,Senior Engineer,Production
10878,Lakshmi,Deville,1952-06-13,Staff,Sales
10879,Muzhong,Chleq,1953-08-18,Senior Engineer,Development
10883,Shimshon,Champarnaud,1952-07-30,Engineer,Production
10909,Georgi,Atchley,1954-11-11,Senior Engineer,Development
10924,Hironoby,Atchley,1954-04-27,Senior Staff,Sales
10927,Gal,Scallan,1953-03-13,Senior Staff,Marketing
10936,Mountaz,Schicker,1953-04-08,Senior Staff,Human Resources
10969,Premal,Noriega,1954-09-05,Senior Engineer,Development
10974,Muneo,Papsdorf,1952-03-07,Senior Engineer,Development
10986,Masako,Schiper,1954-08-11,Technique Leader,Development
10989,Sumali,Candan,1954-09-08,Senior Staff,Finance
10990,Shin,Foote,1954-10-22,Technique Leader,Development
